Chave:10000 | Alt esq: 0 | Alt dir: 0 
Chave:10001 | Alt esq: 1 | Alt dir: 0 
Chave:10002 | Alt esq: 2 | Alt dir: 2 
Chave:10003 | Alt esq: 0 | Alt dir: 0 
Chave:10004 | Alt esq: 1 | Alt dir: 0 
Chave:10005 | Alt esq: 3 | Alt dir: 4 
Chave:10006 | Alt esq: 0 | Alt dir: 0 
Chave:10007 | Alt esq: 1 | Alt dir: 0 
Chave:10008 | Alt esq: 2 | Alt dir: 3 
Chave:10009 | Alt esq: 0 | Alt dir: 0 
Chave:10010 | Alt esq: 1 | Alt dir: 2 
Chave:10011 | Alt esq: 0 | Alt dir: 0 
Chave:10012 | Alt esq: 1 | Alt dir: 0 
Chave:10013 | Alt esq: 5 | Alt dir: 4 
Chave:10014 | Alt esq: 0 | Alt dir: 0 
Chave:10015 | Alt esq: 1 | Alt dir: 1 
Chave:10016 | Alt esq: 0 | Alt dir: 0 
Chave:10017 | Alt esq: 2 | Alt dir: 2 
Chave:10018 | Alt esq: 0 | Alt dir: 1 
Chave:10019 | Alt esq: 0 | Alt dir: 0 
Chave:10020 | Alt esq: 3 | Alt dir: 2 
Chave:10021 | Alt esq: 0 | Alt dir: 1 
Chave:10022 | Alt esq: 0 | Alt dir: 0 
Chave:10023 | Alt esq: 6 | Alt dir: 6 
Chave:10024 | Alt esq: 0 | Alt dir: 0 
Chave:10025 | Alt esq: 1 | Alt dir: 2 
Chave:10026 | Alt esq: 0 | Alt dir: 0 
Chave:10027 | Alt esq: 1 | Alt dir: 0 
Chave:10028 | Alt esq: 3 | Alt dir: 4 
Chave:10029 | Alt esq: 0 | Alt dir: 1 
Chave:10030 | Alt esq: 0 | Alt dir: 0 
Chave:10031 | Alt esq: 2 | Alt dir: 1 
Chave:10032 | Alt esq: 0 | Alt dir: 0 
Chave:10033 | Alt esq: 3 | Alt dir: 2 
Chave:10034 | Alt esq: 0 | Alt dir: 0 
Chave:10035 | Alt esq: 1 | Alt dir: 0 
Chave:10036 | Alt esq: 5 | Alt dir: 5 
Chave:10037 | Alt esq: 0 | Alt dir: 0 
Chave:10038 | Alt esq: 1 | Alt dir: 2 
Chave:10039 | Alt esq: 0 | Alt dir: 1 
Chave:10040 | Alt esq: 0 | Alt dir: 0 
Chave:10041 | Alt esq: 3 | Alt dir: 2 
Chave:10042 | Alt esq: 0 | Alt dir: 0 
Chave:10043 | Alt esq: 1 | Alt dir: 1 
Chave:10044 | Alt esq: 0 | Alt dir: 0 
Chave:10045 | Alt esq: 4 | Alt dir: 4 
Chave:10046 | Alt esq: 0 | Alt dir: 0 
Chave:10047 | Alt esq: 1 | Alt dir: 1 
Chave:10048 | Alt esq: 0 | Alt dir: 0 
Chave:10049 | Alt esq: 2 | Alt dir: 1 
Chave:10050 | Alt esq: 0 | Alt dir: 0 
Chave:10051 | Alt esq: 3 | Alt dir: 3 
Chave:10052 | Alt esq: 0 | Alt dir: 1 
Chave:10053 | Alt esq: 0 | Alt dir: 0 
Chave:10054 | Alt esq: 2 | Alt dir: 1 
Chave:10055 | Alt esq: 0 | Alt dir: 0 
Chave:10056 | Alt esq: 7 | Alt dir: 7 
Chave:10057 | Alt esq: 0 | Alt dir: 0 
Chave:10058 | Alt esq: 1 | Alt dir: 1 
Chave:10059 | Alt esq: 0 | Alt dir: 0 
Chave:10060 | Alt esq: 2 | Alt dir: 2 
Chave:10061 | Alt esq: 0 | Alt dir: 1 
Chave:10062 | Alt esq: 0 | Alt dir: 0 
Chave:10063 | Alt esq: 3 | Alt dir: 3 
Chave:10064 | Alt esq: 0 | Alt dir: 0 
Chave:10065 | Alt esq: 1 | Alt dir: 2 
Chave:10066 | Alt esq: 0 | Alt dir: 0 
Chave:10067 | Alt esq: 1 | Alt dir: 0 
Chave:10068 | Alt esq: 4 | Alt dir: 4 
Chave:10069 | Alt esq: 0 | Alt dir: 1 
Chave:10070 | Alt esq: 0 | Alt dir: 0 
Chave:10071 | Alt esq: 2 | Alt dir: 1 
Chave:10072 | Alt esq: 0 | Alt dir: 0 
Chave:10073 | Alt esq: 3 | Alt dir: 3 
Chave:10074 | Alt esq: 0 | Alt dir: 0 
Chave:10075 | Alt esq: 1 | Alt dir: 1 
Chave:10076 | Alt esq: 0 | Alt dir: 0 
Chave:10077 | Alt esq: 2 | Alt dir: 1 
Chave:10078 | Alt esq: 0 | Alt dir: 0 
Chave:10079 | Alt esq: 5 | Alt dir: 4 
Chave:10080 | Alt esq: 0 | Alt dir: 0 
Chave:10081 | Alt esq: 1 | Alt dir: 1 
Chave:10082 | Alt esq: 0 | Alt dir: 0 
Chave:10083 | Alt esq: 2 | Alt dir: 2 
Chave:10084 | Alt esq: 0 | Alt dir: 0 
Chave:10085 | Alt esq: 1 | Alt dir: 1 
Chave:10086 | Alt esq: 0 | Alt dir: 0 
Chave:10087 | Alt esq: 3 | Alt dir: 3 
Chave:10088 | Alt esq: 0 | Alt dir: 0 
Chave:10089 | Alt esq: 1 | Alt dir: 1 
Chave:10090 | Alt esq: 0 | Alt dir: 0 
Chave:10091 | Alt esq: 2 | Alt dir: 2 
Chave:10092 | Alt esq: 0 | Alt dir: 0 
Chave:10093 | Alt esq: 1 | Alt dir: 0 
Chave:10094 | Alt esq: 6 | Alt dir: 5 
Chave:10095 | Alt esq: 0 | Alt dir: 0 
Chave:10096 | Alt esq: 1 | Alt dir: 1 
Chave:10097 | Alt esq: 0 | Alt dir: 0 
Chave:10098 | Alt esq: 2 | Alt dir: 2 
Chave:10099 | Alt esq: 0 | Alt dir: 1 
Chave:10100 | Alt esq: 0 | Alt dir: 0 
Chave:10101 | Alt esq: 3 | Alt dir: 3 
Chave:10102 | Alt esq: 0 | Alt dir: 0 
Chave:10103 | Alt esq: 1 | Alt dir: 0 
Chave:10104 | Alt esq: 2 | Alt dir: 1 
Chave:10105 | Alt esq: 0 | Alt dir: 0 
Chave:10106 | Alt esq: 4 | Alt dir: 3 
Chave:10107 | Alt esq: 0 | Alt dir: 0 
Chave:10108 | Alt esq: 1 | Alt dir: 1 
Chave:10109 | Alt esq: 0 | Alt dir: 0 
Chave:10110 | Alt esq: 2 | Alt dir: 1 
Chave:10111 | Alt esq: 0 | Alt dir: 0 
Chave:10112 | Alt esq: 8 | Alt dir: 9 
Chave:10113 | Alt esq: 0 | Alt dir: 0 
Chave:10114 | Alt esq: 1 | Alt dir: 1 
Chave:10115 | Alt esq: 0 | Alt dir: 0 
Chave:10116 | Alt esq: 2 | Alt dir: 3 
Chave:10117 | Alt esq: 0 | Alt dir: 1 
Chave:10118 | Alt esq: 0 | Alt dir: 0 
Chave:10119 | Alt esq: 2 | Alt dir: 2 
Chave:10120 | Alt esq: 0 | Alt dir: 0 
Chave:10121 | Alt esq: 1 | Alt dir: 1 
